iter	Passed	Remaining
677	6561	5051
678	6570	5041
679	6579	5031
680	6588	5021
681	6597	5011
682	6607	5001
683	6616	4991
684	6624	4980
685	6635	4971
686	6644	4961
687	6653	4951
688	6662	4941
689	6671	4931
690	6680	4921
691	6690	4911
692	6699	4901
693	6709	4891
694	6718	4881
695	6728	4872
696	6738	4863
697	6749	4854
698	6758	4844
699	6769	4835
700	6777	4824
701	6786	4814
702	6795	4804
703	6803	4793
704	6812	4783
705	6822	4773
706	6831	4764
707	6841	4753
708	6849	4743
709	6859	4733
710	6867	4723
711	6877	4713
712	6887	4704
713	6896	4694
714	6905	4684
715	6914	4674
716	6924	4664
717	6932	4653
718	6941	4643
719	6950	4633
720	6959	4623
721	6968	4613
722	6977	4603
723	6986	4593
724	6995	4583
725	7006	4574
726	7014	4563
727	7023	4553
728	7030	4542
729	7039	4532
730	7047	4521
731	7057	4512
732	7066	4502
733	7075	4492
734	7084	4481
735	7094	4472
736	7103	4462
737	7112	4452
738	7122	4443
739	7131	4433
740	7141	4423
741	7150	4413
742	7162	4405
743	7170	4394
744	7179	4384
745	7187	4374
746	7196	4364
747	7205	4354
748	7215	4344
749	7225	4335
750	7232	4324
751	7243	4315
752	7253	4305
753	7261	4295
754	7271	4285
755	7281	4276
756	7290	4266
757	7300	4256
758	7310	4247
759	7318	4237
760	7327	4227
761	7336	4216
762	7345	4207
763	7354	4197
764	7364	4187
765	7374	4178
766	7383	4167
767	7391	4157
768	7400	4147
769	7408	4137
770	7417	4127
771	7426	4117
772	7434	4107
773	7443	4096
774	7454	4087
775	7461	4076
776	7470	4066
777	7479	4057
778	7488	4046
779	7499	4037
780	7507	4027
781	7516	4017
782	7524	4007
783	7533	3997
784	7542	3987
785	7553	3978
786	7562	3968
787	7572	3959
788	7581	3949
789	7591	3939
790	7600	3930
791	7610	3920
792	7620	3910
793	7629	3901
794	7638	3891
795	7649	3882
796	7659	3872
797	7669	3863
798	7678	3853
799	7686	3843
800	7695	3833
801	7703	3823
802	7712	3813
803	7721	3803
804	7730	3793
805	7740	3783
806	7749	3773
807	7757	3763
808	7766	3753
809	7776	3744
810	7787	3735
811	7796	3725
812	7807	3716
813	7817	3707
814	7827	3697
815	7838	3688
816	7848	3679
817	7857	3669
818	7866	3659
819	7876	3650
820	7886	3640
821	7894	3630
822	7903	3620
823	7912	3610
824	7921	3600
825	7930	3590
826	7938	3580
827	7947	3570
828	7958	3561
829	7967	3551
830	7977	3542
831	7988	3533
832	7998	3523
833	8007	3514
834	8017	3504
835	8028	3495
836	8037	3485
837	8046	3476
838	8057	3466
839	8067	3457
840	8076	3447
841	8085	3437
842	8095	3428
843	8104	3418
844	8113	3408
845	8123	3399
846	8132	3389
